,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
1005,134.0,2019-06-29 14:00:17,2.0,0.0,neutral,0.0,"@andypollin1 You're thinking about the Heavens Gate suicide where they showed pictures of the all wearing Nike sneakers. 
@thomloverro",19.0
1006,140.0,2019-06-29 14:00:17,2.0,0.0,neutral,0.0,Hey @TylerJRenard ?  I ordered the baby some baby Air Force One’s and guess what @Nike sent me........ baby Air For… https://t.co/CTEkAUfi1p,23.0
1007,139.0,2019-06-29 14:00:13,0.0,0.13636363636363635,positive,0.45454545454545453,Check out what I just added to my closet on Poshmark: New Nike Durafeel Leather Glove. https://t.co/vKrShShwj1 via… https://t.co/WTg7ZiUcuV,19.0
1008,72.0,2019-06-29 14:00:12,2.0,-0.6,negative,0.8,@Nike did @Giannis_An34 fucking dirtyyyyyyy just like they did Jeter smh,11.0
1009,139.0,2019-06-29 14:00:04,0.0,0.04545454545454545,positive,0.16666666666666666,"biggest white boy u know — me. i am the biggest white boy i know. i live off of caffeine, i play fortnite, i punch… https://t.co/iYSqxSHr4u",26.0
1010,141.0,2019-06-29 14:00:03,0.0,0.45,positive,0.5,"Brotherly Love. #Nike Air Zoom Freak 1 'All Bros'
Available Now, House of Hoops and Online
Men's and Kids

Shop &gt;… https://t.co/iz27NfhULi",19.0
1011,134.0,2019-06-29 14:00:02,0.0,0.125,positive,0.16666666666666666,"Giannis Antetokounmpo, the first international basketball player to ever have a signature shoe with Nike. The… https://t.co/kJ0YfYZ0AQ",17.0
1012,140.0,2019-06-29 14:00:02,1.0,0.0,neutral,0.0,"Paying homage to Jordan Brand and MJ's heritage, the @Jumpman23 Air Jordan I 'BLACK/WHITE/SAIL/GYM RED' is now avai… https://t.co/OXU227iRIG",19.0
1013,127.0,2019-06-29 14:00:02,0.0,0.6,positive,0.55,#nike #cooltrainers bit pricey but good quality £192 - more pics on our website https://t.co/DV94GCRJYz https://t.co/5pUOeuu8Yf,16.0
1014,104.0,2019-06-29 13:59:48,0.0,0.0,neutral,0.0,We goin after these Jordan 1 gym red sail white? #snkrs #snkrsapp #nike #jordan1 https://t.co/dH6JlVrCcM,15.0
1015,36.0,2019-06-29 13:59:47,0.0,0.0,neutral,0.06666666666666667,Nike made $1300/second last quarter🤯,5.0
1016,90.0,2019-06-29 13:59:44,1.0,0.13636363636363635,positive,0.45454545454545453,@billydolmen 20 juta  because adidas &amp; nike keep launching new sneakers every month. 😉,15.0
